tweet_ID,annotator_1,annotator_2,annotator_3,final_annotation
1430880891442798592,1,,1,1
1414876289152999424,X,,1,X
1401006872572817408,1,,X,X
1415971295204839426,1,,1,1
1429576076452192260,X,,0,0
1402023468984639491,X,,0,X
1428169689746886661,-1,,1,-1
1397943202837983234,1,,1,1
1392059188248027140,X,,X,X
1436092069064450052,X,,X,X
1382391504358936577,1,,X,1
1372538276351930377,0,,X,X
1394989010842525699,X,,X,X
1442496697230266378,0,,X,X
1378251794069868546,X,,1,0
1432743047956205573,1,,1,1
1405623236147175424,1,,1,1
1445059109473202197,0,,1,0
1415978227479334913,1,,1,1
1399058927740932096,1,,1,1
1378288284502257664,0,,X,X
1396100000011198467,X,,0,X
1410044110061375488,X,,0,X
1436072865510608904,0,,X,X
1430921911660433412,X,,X,X
1450846515132514304,-1,,-1,-1
1419359798882045953,1,,1,1
1413211496117587971,1,,0,1
1421041190967955456,1,,-1,1
1435894375184146437,1,,1,1
1448330609336754183,1,,1,1
1446876041838989316,X,,X,X
1432656755603955713,1,,-1,1
1424763969802145792,0,,0,0
1378961366556438533,-1,,X,-1
1372537590704914440,0,,-1,0
1419699789604691968,X,,1,X
1373439003031134208,0,,X,0
1377736948073172992,1,,1,1
1421768137150812160,,,X,X
1373720049291296780,0,,0,0
1414315229798862850,1,,1,1
1426665291728232456,0,,X,X
1412829404049248262,X,,X,X
1411027944504496143,0,,0,0
1389883126047027201,1,,1,1
1411556749274800128,1,,X,0
1405676695605108736,1,,1,1
1392920317295689728,0,,0,0
1449262482535510028,X,-1,,-1
1439583400625676290,X,X,,X
1395660373823565827,1,1,,1
1378272239687065610,-1,-1,,-1
1415991287510040576,1,1,,1
1412300333225762818,-1,X,,-1
1379534127721017344,1,1,,1
1375889908812951554,X,0,,0
1420369176414326787,1,X,,1
1418262663621189638,1,1,,1
1383122737812680706,1,1,,1
1377698538059145216,1,X,,1
1442229790686289923,X,0,,1
1417685924868153350,-1,-1,,-1
1383123870878740481,1,X,,1
1397984628804362249,1,1,,1
1408953419440795648,0,X,,0
1398524661479137282,1,X,,1
1374744066190151680,X,X,,X
1409555973417717769,1,1,,1
1380683720160636930,1,0,,1
1429705610837192714,X,X,,X
1378014839403069446,1,0,,1
1443017868656979969,X,X,,X
1428174220723433472,1,X,,1
1390781932615655425,X,X,,X
1392848558924124160,X,0,,X
1396871882008186889,1,X,,0
1392507880822161413,1,1,,1
1410531386465787905,1,X,,1
1433739676393869313,-1,X,,-1
1402714006771490817,1,0,,1
1419659321722511363,0,X,,0
1391413651786108930,1,X,,1
1442529534570549250,1,X,,X
1388499550990651394,1,1,,1
1402008732247199744,1,1,,1
1448611833733124099,0,X,,X
1425502616155394049,X,X,,X
1396570389686407183,1,0,,1
1396116441221541904,0,0,,0
1436332442785308685,X,X,,X
1440814670676250633,-1,-1,,-1
1430880063784894465,X,X,,X
1443377469361254406,-1,0,,-1
1412316181885771779,X,X,,X
1394413698303893504,-1,X,,0
1437041289506144260,X,X,,X
1415972077614608387,1,1,,1
1382856499802865664,1,0,,1
1408952213498564612,,X,X,X
1390119175398428674,,0,0,0
1401693070232596482,,X,0,X
1419707368779227139,,X,1,X
1389099351855616000,,-1,X,1
1446070958499016705,,X,X,X
1379139973337640969,,X,1,1
1435821328683073536,,0,1,0
1431777266493796352,,1,1,1
1405042457608278016,,0,0,0
1392846949548691458,,X,X,X
1377709277595459589,,0,0,0
1405007814569783301,,X,X,X
1394347486500720642,,1,X,1
1419703747303854082,,X,1,1
1398406761531338754,,X,X,X
1429566425300193287,,-1,1,1
1382854177601257473,,X,X,X
1451933527029735430,,-1,1,-1
1382955886923120640,,1,1,1
1410523793605468167,,0,X,0
1388512372872994818,,X,-1,X
1372543479449014278,,1,1,1
1419783658005741569,,0,0,0
1415972073210589185,,1,0,1
1410042657410359299,,1,X,1
1378247433331879939,,-1,-1,-1
1392918897729228803,,0,0,0
1447993046247817217,,X,-1,X
1395660280374329345,,0,X,X
1415978362527440902,,0,1,1
1415978413731553280,,0,1,1
1411041334992031745,,-1,X,-1
1381986027489869825,,0,X,1
1385622646465904643,,X,1,1
1415394390844092417,,-1,X,-1
1393378894619815943,,X,0,0
1418698684586348544,,0,1,1
1381111677572112384,,X,0,X
1442141965047541763,,0,0,0
1396118848235925505,,X,0,X
1398214474180464641,,X,X,X
1397952188215877647,,0,0,0
1415252241167134723,,1,X,X
1400452124832452615,,1,1,1
1423226645259833346,,1,X,X
1437059221896503313,,0,0,0
1435909620346892289,,X,0,X
1420128523386343430,,0,1,X
1409762059768762369,,X,0,X
1382938170665304065,,X,0,X
